Timestamp,Please provide your worker ID,"How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?"
11/28/2018 10:33:39,A1OW78489XMNXO,Fewer votes,6,5,Fewer votes,5,4,More votes,1,5,More votes,5,3,Fewer votes,5,7,Fewer votes,5,7,Fewer votes,7,5,Fewer votes,6,4,More votes,4,6,Fewer votes,4,5,More votes,6,4,Fewer votes,6,4,More votes,6,5,Fewer votes,6,4,Fewer votes,6,5,More votes,3,5,Fewer votes,3,5,Fewer votes,4,6,Fewer votes,6,5,Fewer votes,6,4,Fewer votes,5,4,Fewer votes,6,4,Fewer votes,6,4,Fewer votes,5,4,Fewer votes,6,4,Fewer votes,5,6,Fewer votes,7,6,Fewer votes,6,7,More votes,6,5,Fewer votes,5,7,More votes,6,4,Fewer votes,6,7,Fewer votes,5,7,Fewer votes,5,7,More votes,5,4,Fewer votes,6,7
11/28/2018 10:33:45,A22G7GBPIVCC9X,Fewer votes,6,7,Fewer votes,5,6,Fewer votes,6,7,Fewer votes,6,6,Fewer votes,7,5,Fewer votes,5,7,Fewer votes,7,5,Fewer votes,6,7,Fewer votes,7,7,Fewer votes,5,6,Fewer votes,6,5,Fewer votes,7,6,Fewer votes,7,5,Fewer votes,6,7,Fewer votes,6,5,Fewer votes,5,5,Fewer votes,7,6,Fewer votes,5,6,Fewer votes,7,6,Fewer votes,5,7,Fewer votes,6,5,Fewer votes,7,5,Fewer votes,7,6,Fewer votes,6,7,Fewer votes,6,7,Fewer votes,6,7,Fewer votes,6,5,Fewer votes,5,6,Fewer votes,7,5,Fewer votes,5,7,Fewer votes,6,6,Fewer votes,5,7,Fewer votes,7,6,Fewer votes,6,7,Fewer votes,5,7,Fewer votes,5,6
11/28/2018 10:34:20,AE0HHYI3TRJ8H,More votes,4,4,More votes,5,5,More votes,5,5,More votes,5,5,More votes,5,5,More votes,5,5,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4,More votes,4,4
11/28/2018 10:38:22,AUI3R928P63B0,Fewer votes,6,3,More votes,6,3,Fewer votes,7,4,More votes,7,4,Fewer votes,7,5,More votes,7,5,Fewer votes,4,3,More votes,4,3,Fewer votes,5,3,More votes,7,5,Fewer votes,7,5,More votes,7,5,Fewer votes,3,5,More votes,3,4,Fewer votes,5,5,More votes,5,5,Fewer votes,7,4,More votes,7,5,Fewer votes,3,5,More votes,3,5,Fewer votes,4,5,More votes,3,4,Fewer votes,6,4,More votes,7,5,Fewer votes,2,5,More votes,3,5,Fewer votes,3,5,More votes,4,5,Fewer votes,6,4,More votes,5,5,Fewer votes,3,5,More votes,3,5,Fewer votes,4,5,More votes,5,4,Fewer votes,6,4,More votes,6,5
11/28/2018 10:40:32,A3E9B8ICQV4SF8,Fewer votes,6,7,Fewer votes,6,7,More votes,6,6,Fewer votes,2,2,More votes,6,7,Fewer votes,6,6,More votes,7,6,Fewer votes,6,7,More votes,6,5,Fewer votes,6,7,More votes,7,6,Fewer votes,6,7,More votes,6,6,Fewer votes,6,7,Fewer votes,6,7,Fewer votes,6,6,More votes,6,7,Fewer votes,7,6,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,7,6,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,3,6,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,6,5,More votes,6,7,Fewer votes,4,6
11/28/2018 10:41:47,A2J930MWXZWZNW,More votes,7,6,Fewer votes,6,7,More votes,6,7,Fewer votes,7,6,More votes,6,7,Fewer votes,7,6,More votes,7,6,Fewer votes,7,6,More votes,6,7,Fewer votes,6,7,More votes,7,6,Fewer votes,6,7,More votes,7,6,More votes,6,7,More votes,5,7,Fewer votes,6,7,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,6,7,More votes,6,7,Fewer votes,7,6,More votes,6,6,Fewer votes,7,7,More votes,6,7,Fewer votes,7,6,More votes,6,6,Fewer votes,7,7,More votes,6,7,Fewer votes,7,6,More votes,7,6,Fewer votes,6,7,More votes,6,7,Fewer votes,6,7,More votes,7,6,Fewer votes,7,6
11/28/2018 10:41:49,A15TLEMC9O4ZUD,Fewer votes,6,6,Fewer votes,6,5,Fewer votes,6,6,Fewer votes,6,4,More votes,7,7,More votes,1,7,More votes,7,4,More votes,6,5,More votes,7,5,Fewer votes,5,6,Fewer votes,5,6,Fewer votes,6,3,Fewer votes,6,4,Fewer votes,6,3,More votes,6,7,Fewer votes,6,5,More votes,7,5,Fewer votes,4,7,Fewer votes,6,5,Fewer votes,4,3,Fewer votes,3,6,Fewer votes,6,7,Fewer votes,6,3,More votes,6,7,Fewer votes,5,7,More votes,6,4,More votes,6,4,Fewer votes,5,7,Fewer votes,4,6,More votes,3,6,Fewer votes,7,4,More votes,5,5,More votes,6,7,Fewer votes,5,3,More votes,6,5,Fewer votes,7,4
11/28/2018 10:42:13,A2JUO3H5VTEEM1,Fewer votes,5,4,Fewer votes,6,5,Fewer votes,5,6,Fewer votes,5,6,Fewer votes,5,6,More votes,5,6,More votes,6,5,More votes,5,5,More votes,5,6,More votes,5,6,More votes,6,5,More votes,6,5,Fewer votes,6,4,More votes,6,5,More votes,5,6,More votes,5,6,More votes,5,4,Fewer votes,5,6,Fewer votes,4,6,Fewer votes,4,5,More votes,4,6,Fewer votes,4,6,More votes,6,5,Fewer votes,5,7,More votes,4,5,Fewer votes,5,6,Fewer votes,5,3,Fewer votes,4,6,More votes,4,5,Fewer votes,5,5,Fewer votes,4,5,Fewer votes,6,4,Fewer votes,3,5,Fewer votes,5,4,More votes,5,6,Fewer votes,5,4
11/28/2018 10:42:14,A34930YXVQ8SUT,More votes,1,6,More votes,6,2,Fewer votes,6,1,More votes,6,1,Fewer votes,6,1,More votes,7,1,Fewer votes,4,7,More votes,4,7,Fewer votes,6,3,More votes,6,3,Fewer votes,7,1,More votes,7,1,Fewer votes,1,7,More votes,1,7,Fewer votes,2,6,More votes,2,6,Fewer votes,6,2,More votes,6,2,Fewer votes,1,7,More votes,1,7,Fewer votes,1,7,More votes,1,7,Fewer votes,5,2,More votes,6,2,Fewer votes,1,7,More votes,1,7,Fewer votes,1,7,More votes,1,7,Fewer votes,5,2,More votes,5,3,More votes,1,7,More votes,1,7,Fewer votes,1,7,More votes,3,7,Fewer votes,3,7,More votes,1,7
11/28/2018 10:45:30,A39GADIK8RLMVC,More votes,5,4,More votes,6,2,Fewer votes,4,4,Fewer votes,6,4,More votes,5,5,Fewer votes,6,3,Fewer votes,4,6,More votes,4,6,More votes,5,5,Fewer votes,5,4,More votes,4,5,Fewer votes,5,4,Fewer votes,4,6,More votes,6,4,Fewer votes,5,5,Fewer votes,7,6,More votes,5,3,Fewer votes,6,5,More votes,5,6,Fewer votes,4,3,More votes,5,5,Fewer votes,3,5,More votes,5,6,Fewer votes,5,3,More votes,5,3,Fewer votes,5,3,More votes,4,5,Fewer votes,5,7,Fewer votes,7,7,Fewer votes,7,3,More votes,3,5,Fewer votes,5,4,More votes,2,2,Fewer votes,5,3,More votes,5,3,Fewer votes,3,5
