Timestamp,Please provide your workerID,"How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?","How do you think the candidate will perform in the actual election,compared to the red potential outcome?",How confident are you about your prediction for question 1,"How likely (or how surprising) do you think the red potential outcome is, given the poll?"
11/27/2018 13:57:48,A19LKLAPLXL9B1,Fewer votes,6,6,Fewer votes,5,5,More votes,6,5,Fewer votes,5,5,More votes,6,6,More votes,6,5,More votes,6,5,Fewer votes,2,2,More votes,6,6,Fewer votes,2,2,More votes,7,5,Fewer votes,3,3,More votes,4,5,Fewer votes,2,2,More votes,5,4,Fewer votes,3,3,More votes,5,5,Fewer votes,5,6,More votes,5,5,Fewer votes,2,3,More votes,6,5,Fewer votes,2,3,Fewer votes,6,5,Fewer votes,2,2,Fewer votes,2,2,Fewer votes,1,1,More votes,5,4,Fewer votes,5,2,More votes,5,5,Fewer votes,2,2,Fewer votes,4,2,Fewer votes,5,2,Fewer votes,3,3,Fewer votes,3,3,More votes,6,5,Fewer votes,2,2
11/27/2018 13:58:40,A2RCYLKY072XXO,Fewer votes,5,3,More votes,5,4,Fewer votes,6,2,More votes,5,3,Fewer votes,6,1,More votes,6,2,Fewer votes,4,4,More votes,4,4,Fewer votes,5,2,More votes,6,3,Fewer votes,6,2,More votes,6,3,Fewer votes,4,4,More votes,4,4,Fewer votes,5,3,More votes,5,3,Fewer votes,5,3,More votes,5,2,More votes,4,4,More votes,4,4,Fewer votes,5,3,More votes,5,3,Fewer votes,6,2,More votes,6,2,More votes,4,4,More votes,5,3,Fewer votes,4,4,More votes,5,3,Fewer votes,5,3,More votes,6,3,More votes,4,4,More votes,5,3,Fewer votes,5,3,More votes,5,3,Fewer votes,6,3,More votes,6,2
11/27/2018 14:00:46,A4KXK34AMY5D1,Fewer votes,6,6,More votes,5,5,Fewer votes,2,5,More votes,6,5,More votes,5,3,More votes,5,4,More votes,3,5,Fewer votes,2,3,Fewer votes,2,2,Fewer votes,2,3,Fewer votes,7,4,More votes,2,2,More votes,2,2,More votes,2,2,More votes,2,2,More votes,2,3,More votes,3,4,More votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,More votes,3,3,Fewer votes,3,3,Fewer votes,3,4,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,More votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,More votes,3,3,Fewer votes,3,3
11/27/2018 14:03:31,A1DIXDR0Y7KXMT,Fewer votes,2,2,Fewer votes,2,2,Fewer votes,2,2,Fewer votes,1,1,More votes,6,7,Fewer votes,5,4,Fewer votes,2,2,Fewer votes,3,2,More votes,6,5,Fewer votes,3,3,More votes,5,5,Fewer votes,2,2,Fewer votes,2,2,Fewer votes,2,2,More votes,5,5,Fewer votes,4,5,More votes,3,3,Fewer votes,5,5,More votes,7,5,Fewer votes,2,2,More votes,6,6,Fewer votes,2,2,More votes,5,5,Fewer votes,2,2,More votes,5,5,Fewer votes,5,3,Fewer votes,5,4,Fewer votes,4,4,More votes,6,5,Fewer votes,1,1,More votes,4,4,Fewer votes,6,4,More votes,4,4,Fewer votes,5,5,More votes,5,5,Fewer votes,5,5
11/27/2018 14:04:12,A4KXK34AMY5D1,More votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,Fewer votes,3,3,More votes,3,3,More votes,3,3,More votes,3,4,More votes,3,4,Fewer votes,3,4,Fewer votes,3,3,Fewer votes,3,4,Fewer votes,3,5,More votes,3,3,Fewer votes,3,5,More votes,4,5,Fewer votes,3,5,Fewer votes,3,4,Fewer votes,4,6,Fewer votes,2,3,Fewer votes,3,4,Fewer votes,3,3,Fewer votes,4,5,Fewer votes,3,5,More votes,3,4,Fewer votes,4,4,Fewer votes,4,6,More votes,3,5,Fewer votes,4,5,Fewer votes,4,4,More votes,4,4,Fewer votes,4,5,Fewer votes,4,4,Fewer votes,3,3
11/27/2018 14:05:02,A3493E42N1JZVF,Fewer votes,3,3,More votes,4,3,Fewer votes,6,2,More votes,6,2,Fewer votes,7,1,More votes,7,1,Fewer votes,2,6,More votes,2,6,Fewer votes,3,5,More votes,3,5,Fewer votes,5,2,More votes,6,2,Fewer votes,2,7,More votes,2,7,Fewer votes,2,6,More votes,2,6,Fewer votes,4,4,More votes,4,4,Fewer votes,1,7,More votes,1,7,Fewer votes,2,6,More votes,2,6,Fewer votes,3,5,More votes,3,5,Fewer votes,1,7,More votes,1,7,Fewer votes,2,6,More votes,2,6,Fewer votes,4,4,More votes,4,4,Fewer votes,1,7,More votes,1,7,Fewer votes,2,7,More votes,2,7,Fewer votes,3,6,More votes,3,6
11/27/2018 14:05:59,A1FS8SBR4SDWYG,Fewer votes,6,2,More votes,7,7,Fewer votes,7,1,More votes,4,4,Fewer votes,5,1,More votes,5,3,More votes,4,4,More votes,6,5,Fewer votes,5,4,Fewer votes,6,4,Fewer votes,6,1,More votes,4,3,More votes,4,4,More votes,5,3,Fewer votes,5,3,More votes,5,5,Fewer votes,4,4,More votes,4,4,More votes,4,5,More votes,5,4,Fewer votes,5,4,More votes,6,3,More votes,5,4,More votes,7,1,Fewer votes,5,4,More votes,6,5,Fewer votes,6,5,More votes,5,4,Fewer votes,5,4,More votes,5,4,More votes,5,2,More votes,7,4,More votes,6,4,More votes,7,4,Fewer votes,6,5,More votes,6,5
11/27/2018 14:08:35,A3AM9JHTS7537G,Fewer votes,4,5,Fewer votes,3,4,Fewer votes,4,6,Fewer votes,4,3,Fewer votes,4,3,Fewer votes,4,3,Fewer votes,5,3,Fewer votes,4,4,Fewer votes,5,4,Fewer votes,4,3,Fewer votes,4,2,Fewer votes,4,4,Fewer votes,3,2,Fewer votes,3,4,Fewer votes,3,2,Fewer votes,5,3,More votes,5,3,Fewer votes,4,3,Fewer votes,5,3,Fewer votes,6,4,More votes,3,5,Fewer votes,4,5,More votes,5,6,Fewer votes,6,3,Fewer votes,5,3,Fewer votes,4,6,More votes,5,3,More votes,5,4,More votes,5,4,Fewer votes,5,2,Fewer votes,4,3,Fewer votes,5,3,More votes,4,2,Fewer votes,4,2,More votes,5,2,Fewer votes,5,2
11/27/2018 14:09:03,A4QDCBGN79832,More votes,6,6,Fewer votes,3,2,More votes,6,6,Fewer votes,2,2,More votes,6,6,Fewer votes,6,5,More votes,6,6,Fewer votes,5,5,More votes,5,4,Fewer votes,5,5,More votes,6,6,Fewer votes,2,2,More votes,6,5,Fewer votes,5,5,More votes,6,5,Fewer votes,5,5,More votes,5,5,Fewer votes,5,4,More votes,5,5,Fewer votes,5,5,More votes,5,5,Fewer votes,6,5,More votes,6,5,Fewer votes,6,5,More votes,6,5,Fewer votes,2,2,More votes,6,5,Fewer votes,2,2,More votes,6,5,Fewer votes,2,2,More votes,6,5,Fewer votes,5,2,More votes,5,5,Fewer votes,1,2,More votes,5,5,Fewer votes,2,2
11/27/2018 14:09:29,A2JZTBEU8B8MXW,Fewer votes,4,5,More votes,6,4,Fewer votes,5,4,Fewer votes,5,4,More votes,5,4,More votes,5,4,More votes,5,4,More votes,5,4,Fewer votes,5,4,Fewer votes,4,5,Fewer votes,5,4,More votes,5,4,Fewer votes,5,6,More votes,3,5,More votes,4,6,Fewer votes,5,4,Fewer votes,4,5,Fewer votes,5,4,Fewer votes,6,3,Fewer votes,5,4,More votes,5,4,Fewer votes,5,4,More votes,4,5,Fewer votes,5,4,Fewer votes,6,5,Fewer votes,5,4,Fewer votes,4,5,Fewer votes,4,5,Fewer votes,5,4,More votes,4,6,Fewer votes,4,6,Fewer votes,3,5,More votes,4,4,More votes,4,6,Fewer votes,5,4,Fewer votes,4,4
