,worker_id,correct,WorkTimeInsecond
0,A1127U06EX2U6H,0.9444444444444444,410.0
1,A19LKLAPLXL9B1,0.8333333333333334,304.0
2,A1DIXDR0Y7KXMT,0.8611111111111112,654.0
3,A1FS8SBR4SDWYG,0.19444444444444445,810.0
4,A1IKK576F8WY0N,0.0,1326.0
5,A1KTPYX40PRLVW,0.25,1099.0
6,A22X4H4XWMRFG7,0.5,1215.0
7,A2CF2BD4Q0ZDJN,0.0,2811.0
8,A2FDEBTHDRUHRK,0.5,901.0
9,A2JZTBEU8B8MXW,0.4722222222222222,1015.0
10,A2RCYLKY072XXO,0.08333333333333333,359.0
11,A2U0JT7TSIIXPS,0.3611111111111111,911.0
12,A2YKYAZYVWOXBO,0.8055555555555556,2787.0
13,A30NWLRPW1XUSH,0.027777777777777776,866.0
14,A3493E42N1JZVF,0.0,750.0
15,A34PZU7S7JCAJO,0.8055555555555556,2012.0
16,A3AM9JHTS7537G,0.6666666666666666,955.0
17,A3HQ79XXFXL57N,0.5,1533.0
18,A3KE7OXK8J5QAD,0.4444444444444444,1133.0
19,A3LT7W355XOAKF,0.027777777777777776,1110.0
20,A4KXK34AMY5D1,0.5138888888888888,693.0
21,A4QDCBGN79832,1.0,984.0
22,AQWV4866H1PFQ,0.9722222222222222,1126.0
23,ASL2J1WC5JG2I,0.5277777777777778,
24,ASMEIXETQPZV2,0.6666666666666666,1965.0
25,AZBS0MVCBSCGY,0.5277777777777778,2371.0
