,worker_id,correct,WorkTimeInsecond
0,A11P1OS26E6AMO,0.0,1207
1,A1BVG13MHBM1YD,0.2777777777777778,1226
2,A1U8RH67FLZW87,0.027777777777777776,1342
3,A23TGEQ4CG90PA,0.05555555555555555,2285
4,A28HQQPBN2MUNR,0.4722222222222222,2532
5,A2C7TMRC2QHTIW,0.027777777777777776,378
6,A2JBJ6XZV2Q75G,0.5,462
7,A2XC9IWFQ3FWUR,0.4722222222222222,597
8,A2XGOBIWUDYLOT,0.6944444444444444,2136
9,A2YCIBO6DZ8WIA,0.4722222222222222,910
10,A34142ZT9A8DJQ,0.9166666666666666,2626
11,A35H05ZTUL743M,0.4444444444444444,283
12,A3BFMY5OX2WMUW,0.05555555555555555,2498
13,A3RM4V4D9HJS7H,0.4166666666666667,778
14,A3ROADR7T6811,0.9722222222222222,641
15,AA4KKLIU4C3NY,0.9444444444444444,2698
16,AAJZ7OX710SZV,0.3888888888888889,2643
17,AAQREZOK13OV7,0.027777777777777776,1676
18,ABL3H3O3BI8ZD,0.5,2311
19,AXT49VCFZDGW8,0.1111111111111111,1119
20,AZ8JL3QNIPY4U,0.027777777777777776,1419
21,AZGEFXK6WEEXO,0.5,1887
