,worker_id,correct,WorkTimeInsecond
0,A14DRED7XJ1F2V,0.19444444444444445,1858
1,A15TLEMC9O4ZUD,0.5555555555555556,1360
2,A1FOTRH3UJMKTS,0.9722222222222222,2531
3,A1J2LOGAGQ7HNT,0.5,1364
4,A1O0BGHFTMPQM0,0.25,1138
5,A1OW78489XMNXO,0.6388888888888888,331
6,A22G7GBPIVCC9X,0.5,351
7,A260MIY3WZBFF4,0.5,289
8,A289D98Z4GAZ28,0.1111111111111111,2330
9,A2H6K1XIK4LY7O,0.5833333333333334,2029
10,A2HITRHQ441VHA,0.75,706
11,A2J930MWXZWZNW,0.9722222222222222,821
12,A2JUO3H5VTEEM1,0.6111111111111112,671
13,A2M1CVZZJAN4T4,0.0,1235
14,A34930YXVQ8SUT,0.05555555555555555,852
15,A357BORERBTE76,0.8055555555555556,2755
16,A39GADIK8RLMVC,0.7777777777777778,1046
17,A3AV8KOZW78IEW,0.5,1068
18,A3E9B8ICQV4SF8,0.9444444444444444,1217
19,A3K2RI35D0E7P3,0.8888888888888888,2252
20,A3P2EXV8LIPUVI,0.25,1553
21,A4KXK34AMY5D1,0.6388888888888888,387
22,AE0HHYI3TRJ8H,0.5,374
23,AUI3R928P63B0,0.0,626
24,AWXIEV9H6KT9E,0.4722222222222222,3062
