,worker_id,correct,WorkTimeInsecond
0,A11Q8U6QTT8KGF,0.25,1066
1,A11W7R2O4RQSSS,0.4722222222222222,3297
2,A12VQHPT0YHMIS,0.1388888888888889,3010
3,A1CUIN1FSZCM50,0.0,644
4,A1DT85NV46PRGD,0.05555555555555555,3270
5,A22955PPOJ264W,0.16666666666666666,1490
6,A22T82WRKLBSHM,0.8611111111111112,1300
7,A2AO6S9CHHQ9RN,0.6666666666666666,3392
8,A2FF64MZ7SLJ96,0.7777777777777778,1849
9,A2IVBF3QUJ09K,0.05555555555555555,644
10,A2U7U0A4G92GTR,0.6111111111111112,538
11,A2W8TJXW68442D,0.1388888888888889,547
12,A34488HCARTJ82,0.0,452
13,A36GKWP2TPIX85,0.4722222222222222,414
14,A39XLBFLSTLS,0.5,1174
15,A3J5KTBHZI60H,0.75,618
16,A3K6DL4PN98CBN,0.0,621
17,A3LL096CAY5WHB,0.9722222222222222,1353
18,A3MHKFOJIXO7QN,0.9722222222222222,2051
19,A3VENK02U0X16N,0.1388888888888889,1582
20,A89R5XGMHOTJE,0.0,1134
21,AHOTKNMJFS8TR,0.8333333333333334,1262
22,AK5AFB4VLBCGK,0.4166666666666667,3569
23,ASCLZFXD9WMON,0.6111111111111112,894
24,AYQH26R4KXW2K,0.05555555555555555,820
